
Host: kappa

Timers On : Fri Jul 29 10:05:57 2022
Timers Off: Fri Jul 29 10:06:35 2022

Wall Time:       37.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: JK                            :      0.967u      0.017s      0.599w     97 calls
| | DFH: compute_JK()               :      0.967u      0.017s      0.598w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.267u      0.017s      0.145w     97 calls
| | | DFH: compute_K                :      0.700u      0.000s      0.439w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.167u      0.000s      0.350w     94 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.279w     89 calls
| DIISManager::extrapolate          :      0.067u      0.000s      0.021w     89 calls
| | bMatrix setup                   :      0.017u      0.000s      0.008w     89 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.004w     89 calls
| | New vector                      :      0.017u      0.000s      0.007w     89 calls
HF: Form C                          :      0.133u      0.000s      0.085w     94 calls
Grad: V T Perturb                   :      0.500u      0.033s      0.326w      7 calls
Grad: S                             :      0.017u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.050s      6.729w      7 calls
| JKGrad: Amn                       :      1.450u      0.000s      0.876w      7 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.145w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.333u      0.017s      0.222w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.033u      0.000s      0.016w      7 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.094w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.600u      0.017s      2.161w      7 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.147w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.507w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.583u      0.050s      5.784w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.017u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      5.067u      0.000s      3.048w     16 calls
| DFH: compute_JK()                 :      5.067u      0.000s      3.048w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.083u      0.000s      0.647w     16 calls
| | DFH: compute_K                  :      3.983u      0.000s      2.397w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 10:45:27 2022
Timers Off: Fri Jul 29 10:46:08 2022

Wall Time:       41.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.467u      0.017s      0.306w      9 calls
Libint2ERI::Libint2ERI              :      1.217u      0.017s      0.718w     61 calls
DFH: initialize()                   :      2.483u      0.050s      1.591w      9 calls
DFH: AO Construction                :      1.367u      0.000s      0.844w      9 calls
DFH: AO-Met. Contraction            :      0.300u      0.000s      0.196w      9 calls
HF: Form core H                     :      0.133u      0.017s      0.354w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.300u      0.000s      0.175w      8 calls
SAD Guess                           :      0.283u      0.000s      0.168w      3 calls
HF: Form G                          :      0.967u      0.033s      0.607w     97 calls
JK: D                               :      0.000u      0.000s      0.005w    113 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    113 calls
JK: JK                              :      5.933u      0.033s      3.582w    113 calls
DFH: compute_JK()                   :      5.933u      0.033s      3.582w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.383u      0.017s      0.717w    113 calls
DFH: compute_K                      :      4.550u      0.017s      2.847w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.017u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.117u      0.000s      0.356w     94 calls
DIISManager::add_entry              :      0.033u      0.000s      0.284w     89 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.021w     89 calls
bMatrix setup                       :      0.017u      0.000s      0.009w     89 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.004w     89 calls
New vector                          :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.117u      0.000s      0.086w     94 calls
Grad: V T Perturb                   :      0.517u      0.017s      0.323w      7 calls
Grad: S                             :      0.033u      0.000s      0.010w      7 calls
Grad: JK                            :      5.550u      0.033s      5.035w      7 calls
JKGrad: Amn                         :      1.433u      0.017s      0.877w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.383u      0.000s      0.223w      7 calls
JKGrad: UV                          :      0.000u      0.000s      0.016w      7 calls
JKGrad: ABx                         :      0.150u      0.017s      0.094w      7 calls
JKGrad: Amnx                        :      3.567u      0.000s      2.158w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.750u      0.083s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.667u      0.050s      5.840w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.467u      0.017s      0.306w      9 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.195w      9 calls
DFH: initialize()                   :      2.483u      0.050s      1.591w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.017s      0.185w     18 calls
| DFH: AO Construction              :      1.367u      0.000s      0.844w      9 calls
| DFH: AO-Met. Contraction          :      0.300u      0.000s      0.196w      9 calls
HF: Form core H                     :      0.133u      0.017s      0.354w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.300u      0.000s      0.175w      8 calls
| SAD Guess                         :      0.283u      0.000s      0.168w      3 calls
HF: Form G                          :      0.967u      0.033s      0.607w     97 calls
| JK: D                             :      0.000u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      0.950u      0.033s      0.597w     97 calls
| | DFH: compute_JK()               :      0.950u      0.033s      0.597w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.367u      0.017s      0.144w     97 calls
| | | DFH: compute_K                :      0.583u      0.017s      0.439w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.017u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.117u      0.000s      0.356w     94 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.284w     89 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.021w     89 calls
| | bMatrix setup                   :      0.017u      0.000s      0.009w     89 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.004w     89 calls
| | New vector                      :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.117u      0.000s      0.086w     94 calls
Grad: V T Perturb                   :      0.517u      0.017s      0.323w      7 calls
Grad: S                             :      0.033u      0.000s      0.010w      7 calls
Grad: JK                            :      5.550u      0.033s      5.035w      7 calls
| JKGrad: Amn                       :      1.433u      0.017s      0.877w      7 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.145w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.383u      0.000s      0.223w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.000u      0.000s      0.016w      7 calls
| JKGrad: ABx                       :      0.150u      0.017s      0.094w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.567u      0.000s      2.158w      7 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.149w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.750u      0.083s      0.507w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.667u      0.050s      5.840w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      4.983u      0.000s      2.985w     16 calls
| DFH: compute_JK()                 :      4.983u      0.000s      2.985w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      1.017u      0.000s      0.572w     16 calls
| | DFH: compute_K                  :      3.967u      0.000s      2.408w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 10:53:02 2022
Timers Off: Fri Jul 29 10:53:38 2022

Wall Time:       36.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.517u      0.017s      0.306w      9 calls
Libint2ERI::Libint2ERI              :      1.183u      0.017s      0.719w     61 calls
DFH: initialize()                   :      2.467u      0.017s      1.599w      9 calls
DFH: AO Construction                :      1.400u      0.017s      0.842w      9 calls
DFH: AO-Met. Contraction            :      0.283u      0.000s      0.192w      9 calls
HF: Form core H                     :      0.117u      0.000s      0.563w      8 calls
HF: Form S/X                        :      0.033u      0.017s      0.007w      8 calls
HF: Guess                           :      0.267u      0.000s      0.173w      8 calls
SAD Guess                           :      0.250u      0.000s      0.166w      3 calls
HF: Form G                          :      1.050u      0.000s      0.611w     97 calls
JK: D                               :      0.033u      0.000s      0.005w    113 calls
