
Host: kappa

Timers On : Sun Jul 31 15:10:12 2022
Timers Off: Sun Jul 31 15:14:57 2022

Wall Time:      284.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JKGrad: Amnx                      :     20.250u      0.100s     12.218w      7 calls
| | Libint2ERI::Libint2ERI          :      1.533u      0.000s      0.919w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      2.850u      0.133s      1.778w      1 calls
Hess: T                             :      0.017u      0.000s      0.013w      1 calls
Hess: S                             :      0.000u      0.000s      0.004w      1 calls
Hess: JK                            :    101.800u      0.550s     61.443w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.132w      3 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.129w      3 calls
JK: D                               :      0.017u      0.000s      0.013w     16 calls
JK: USO2AO                          :      0.017u      0.000s      0.026w     16 calls
JK: JK                              :     44.867u      0.000s     26.919w     16 calls
| DFH: compute_JK()                 :     44.867u      0.000s     26.919w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      6.383u      0.000s      3.837w     16 calls
| | DFH: compute_K                  :     38.367u      0.000s     23.041w     16 calls
JK: AO2USO                          :      0.050u      0.000s      0.013w     16 calls

**************************************************************************************
